r1,p1,r2,p2,c1,c2,subj
-1.5385,1.1161,-1.1041,1.8838,0,1,7
-2.5385,1.1161,2.8959,1.8838,0,1,7
-0.53848,1.1161,0.89593,1.8838,0,1,7
-0.53848,1.1161,0.89593,1.8838,1,1,7
2.4615,1.1161,-2.1041,0.88375,1,0,7
2.4615,1.1161,1.8959,1.8838,0,1,7
0.46152,1.1161,-0.10407,1.8838,0,1,7
-0.53848,1.1161,0.89593,1.8838,0,0,7
-3.5385,1.1161,-4.1041,1.8838,0,0,7
0.46152,1.1161,-2.1041,-1.1162,1,1,7
0.46152,1.1161,-0.10407,1.8838,1,0,7
0.46152,1.1161,-0.10407,-1.1162,0,0,7
-1.5385,1.1161,-0.10407,-1.1162,0,1,7
-1.5385,-2.8839,-0.10407,2.8838,0,1,7
-1.5385,-2.8839,-0.10407,2.8838,1,1,7
-1.5385,4.1161,-2.1041,-1.1162,1,1,7
0.46152,4.1161,-0.10407,-1.1162,1,1,7
0.46152,4.1161,-0.10407,3.8838,1,1,7
0.46152,4.1161,-0.10407,-1.1162,1,1,7
0.46152,2.1161,-0.10407,3.8838,0,0,7
-3.5385,2.1161,-0.10407,1.8838,0,1,7
-3.5385,-3.8839,-4.1041,3.8838,0,0,7
-2.5385,-3.8839,-3.1041,3.8838,0,0,7
-2.5385,-3.8839,-3.1041,3.8838,0,0,7
-1.5385,-3.8839,-2.1041,3.8838,0,0,7
-1.5385,-3.8839,-0.10407,3.8838,0,0,7
-1.5385,-1.8839,-2.1041,3.8838,0,0,7
-0.53848,-1.8839,-1.1041,3.8838,0,0,7
-0.53848,-1.8839,-1.1041,3.8838,0,0,7
0.46152,-1.8839,-0.10407,-2.1162,1,0,7
2.4615,-1.8839,-0.10407,3.8838,1,0,7
0.46152,-1.8839,-2.1041,-2.1162,1,0,7
3.4615,-1.8839,-3.1041,-2.1162,1,0,7
3.4615,-1.8839,-3.1041,-2.1162,1,0,7
5.4615,-1.8839,-0.10407,3.8838,1,1,7
5.4615,3.1161,-0.10407,2.8838,1,0,7
5.4615,3.1161,-5.1041,-2.1162,1,0,7
2.4615,3.1161,-2.1041,-2.1162,1,0,7
2.4615,3.1161,-2.1041,-2.1162,1,0,7
0.46152,3.1161,-0.10407,-3.1162,1,1,7
5.4615,3.1161,4.8959,-3.1162,1,1,7
4.4615,3.1161,-0.10407,-2.1162,1,0,7
4.4615,2.1161,3.8959,-3.1162,0,0,7
-3.5385,2.1161,-4.1041,-3.1162,0,0,7
-4.5385,2.1161,-5.1041,-3.1162,0,0,7
-2.5385,2.1161,-3.1041,-3.1162,0,0,7
-3.5385,2.1161,-4.1041,-3.1162,0,1,7
-3.5385,-0.8839,-0.10407,-2.1162,0,0,7
-3.5385,-1.8839,-4.1041,0.88375,1,0,7
3.4615,-1.8839,-0.10407,-2.1162,1,0,7
3.4615,3.1161,-0.10407,-3.1162,1,1,7
3.4615,2.1161,-0.10407,1.8838,1,0,7
3.4615,1.1161,-0.10407,-1.1162,1,1,7
1.4615,1.1161,0.89593,-1.1162,1,1,7
2.4615,1.1161,-3.1041,0.88375,1,1,7
2.4615,2.1161,1.8959,-1.1162,1,0,7
1.4615,2.1161,-1.1041,-1.1162,1,0,7
2.4615,2.1161,-2.1041,-1.1162,1,0,7
3.4615,2.1161,-3.1041,-1.1162,1,0,7
5.4615,2.1161,-3.1041,1.8838,1,0,7
5.4615,2.1161,-3.1041,-2.1162,1,1,7
5.4615,1.1161,-5.1041,-1.1162,1,1,7
1.4615,1.1161,0.89593,-1.1162,1,1,7
1.4615,1.1161,0.89593,-1.1162,1,1,7
0.46152,1.1161,-0.10407,-1.1162,0,1,7
0.46152,1.1161,-3.1041,0.88375,0,1,7
-2.5385,1.1161,2.8959,0.88375,0,1,7
-2.5385,1.1161,2.8959,0.88375,0,0,7
-2.5385,-2.8839,-0.10407,-1.1162,0,0,7
0.46152,-2.8839,2.8959,-3.1162,0,1,7
-1.5385,-2.8839,1.8959,-3.1162,0,1,7
-1.5385,-2.8839,1.8959,-3.1162,0,1,7
-0.53848,-2.8839,0.89593,-3.1162,0,1,7
-1.5385,-2.8839,-0.10407,-1.1162,0,1,7
-2.5385,-2.8839,1.8959,-3.1162,0,1,7
-2.5385,-2.8839,2.8959,-3.1162,0,0,7
-2.5385,-0.8839,2.8959,-1.1162,0,1,7
0.46152,-0.8839,-0.10407,-1.1162,0,1,7
0.46152,-0.8839,-0.10407,0.88375,1,1,7
0.46152,-0.8839,2.8959,-1.1162,1,0,7
3.4615,-0.8839,-3.1041,-1.1162,1,0,7
1.4615,-0.8839,-1.1041,-1.1162,1,1,7
1.4615,-0.8839,-0.10407,0.88375,1,1,7
3.4615,-0.8839,0.89593,-1.1162,1,1,7
3.4615,1.1161,2.8959,0.88375,1,0,7
2.4615,1.1161,0.89593,0.88375,1,1,7
0.46152,1.1161,-0.10407,0.88375,1,0,7
0.46152,3.1161,-2.1041,0.88375,0,1,7
-2.5385,3.1161,2.8959,0.88375,0,1,7
-2.5385,3.1161,-0.10407,-3.1162,0,0,7
-2.5385,-2.8839,-0.10407,-3.1162,0,0,7
-2.5385,-1.8839,2.8959,0.88375,0,0,7
-2.5385,-0.8839,-0.10407,-2.1162,1,0,7
-2.5385,1.1161,-0.10407,-1.1162,1,1,7
0.46152,1.1161,2.8959,-1.1162,1,0,7
0.46152,1.1161,-0.10407,-1.1162,1,1,7
0.46152,1.1161,-0.10407,0.88375,1,0,7
3.4615,1.1161,-3.1041,0.88375,1,1,7
0.46152,0.1161,-0.10407,-0.11625,0,1,18
0.46152,0.1161,-0.10407,-0.11625,1,0,18
0.46152,2.1161,-0.10407,-0.11625,0,0,18
-2.5385,2.1161,-0.10407,-2.1162,0,1,18
0.46152,2.1161,-3.1041,-0.11625,0,0,18
-1.5385,2.1161,-2.1041,-0.11625,0,0,18
-2.5385,2.1161,-3.1041,-0.11625,0,0,18
-2.5385,2.1161,-0.10407,-2.1162,0,1,18
0.46152,2.1161,-3.1041,-0.11625,0,0,18
-2.5385,2.1161,-3.1041,-0.11625,0,0,18
-0.53848,2.1161,-1.1041,-0.11625,0,0,18
-0.53848,2.1161,-0.10407,-2.1162,0,1,18
-0.53848,-2.8839,-1.1041,-0.11625,0,0,18
-0.53848,-1.8839,-1.1041,-2.1162,0,0,18
-0.53848,-1.8839,-1.1041,-2.1162,0,0,18
-0.53848,-2.8839,-1.1041,-3.1162,0,1,18
-0.53848,-0.8839,-1.1041,0.88375,0,0,18
-0.53848,-3.8839,-1.1041,-4.1162,1,0,18
-0.53848,3.1161,-1.1041,-3.1162,0,0,18
-0.53848,-2.8839,-1.1041,-3.1162,0,0,18
-0.53848,-1.8839,-1.1041,-2.1162,0,0,18
-0.53848,-1.8839,-1.1041,-2.1162,1,0,18
-0.53848,3.1161,-1.1041,-3.1162,0,1,18
-0.53848,3.1161,0.89593,-3.1162,0,1,18
-1.5385,3.1161,1.8959,-3.1162,0,1,18
-2.5385,3.1161,2.8959,-3.1162,0,1,18
-2.5385,-2.8839,2.8959,2.8838,0,0,18
-2.5385,-0.8839,-0.10407,2.8838,0,1,18
-2.5385,-0.8839,2.8959,-1.1162,0,1,18
-2.5385,-1.8839,2.8959,2.8838,0,1,18
-3.5385,-1.8839,2.8959,1.8838,0,0,18
-1.5385,-1.8839,-2.1041,1.8838,0,0,18
0.46152,-1.8839,-0.10407,1.8838,0,0,18
0.46152,-1.8839,-0.10407,1.8838,0,0,18
0.46152,-0.8839,3.8959,2.8838,1,1,18
0.46152,1.1161,-0.10407,-1.1162,1,1,18
3.4615,1.1161,2.8959,-1.1162,1,1,18
5.4615,1.1161,3.8959,0.88375,1,1,18
5.4615,1.1161,3.8959,0.88375,1,1,18
5.4615,3.1161,3.8959,2.8838,1,0,18
5.4615,1.1161,4.8959,-1.1162,0,0,18
5.4615,-0.8839,3.8959,-1.1162,0,1,18
5.4615,-2.8839,3.8959,2.8838,0,0,18
5.4615,-2.8839,4.8959,-1.1162,0,0,18
-1.5385,-2.8839,-2.1041,-1.1162,0,0,18
-2.5385,-2.8839,-3.1041,-1.1162,0,0,18
-3.5385,-2.8839,-4.1041,-1.1162,0,0,18
-2.5385,-2.8839,-3.1041,-1.1162,0,0,18
-0.53848,-2.8839,3.8959,-3.1162,0,0,18
-1.5385,-2.8839,-2.1041,-3.1162,0,0,18
-2.5385,-2.8839,-3.1041,-3.1162,0,0,18
-1.5385,-2.8839,-1.1041,-1.1162,0,1,18
-0.53848,-2.8839,0.89593,-1.1162,0,1,18
-0.53848,-2.8839,-2.1041,-3.1162,0,0,18
-0.53848,-0.8839,0.89593,-1.1162,0,1,18
-1.5385,-0.8839,1.8959,-1.1162,0,1,18
0.46152,-0.8839,-0.10407,-1.1162,0,0,18
-3.5385,-0.8839,-4.1041,-1.1162,0,0,18
0.46152,-0.8839,-0.10407,-1.1162,0,0,18
0.46152,-0.8839,-2.1041,-1.1162,0,0,18
-0.53848,-0.8839,-1.1041,-1.1162,0,0,18
-1.5385,-0.8839,-0.10407,-1.1162,0,1,18
-1.5385,-2.8839,-2.1041,-1.1162,1,0,18
4.4615,-2.8839,-0.10407,2.8838,1,1,18
4.4615,4.1161,-4.1041,-1.1162,1,1,18
0.46152,4.1161,-0.10407,3.8838,0,1,18
0.46152,-2.8839,-0.10407,-1.1162,0,1,18
0.46152,-0.8839,-0.10407,0.88375,1,0,18
1.4615,-0.8839,-1.1041,0.88375,1,0,18
0.46152,-0.8839,-0.10407,2.8838,1,0,18
5.4615,-0.8839,-0.10407,0.88375,1,0,18
5.4615,3.1161,-0.10407,-3.1162,1,0,18
5.4615,2.1161,-0.10407,-2.1162,1,1,18
0.46152,2.1161,-5.1041,2.8838,0,1,18
-2.5385,2.1161,-0.10407,-2.1162,0,0,18
-2.5385,-1.8839,2.8959,2.8838,0,1,18
-1.5385,-1.8839,1.8959,2.8838,0,1,18
-1.5385,-1.8839,1.8959,2.8838,0,1,18
0.46152,-1.8839,-0.10407,2.8838,0,1,18
0.46152,-1.8839,-0.10407,-2.1162,0,1,18
0.46152,-3.8839,-0.10407,2.8838,0,1,18
0.46152,-3.8839,-0.10407,3.8838,1,1,18
0.46152,5.1161,-0.10407,4.8838,1,0,18
5.4615,5.1161,-0.10407,3.8838,1,0,18
5.4615,3.1161,-0.10407,-3.1162,1,0,18
5.4615,3.1161,-0.10407,-3.1162,0,1,18
5.4615,-0.8839,-0.10407,0.88375,0,0,18
5.4615,-0.8839,-0.10407,-1.1162,0,1,18
-3.5385,-0.8839,-5.1041,4.8838,0,1,18
-3.5385,-2.8839,-5.1041,2.8838,0,0,18
-3.5385,-1.8839,3.8959,-1.1162,0,1,18
-2.5385,-1.8839,2.8959,-1.1162,0,1,18
-1.5385,-1.8839,1.8959,-1.1162,0,1,18
0.46152,-1.8839,-0.10407,-1.1162,0,1,18
0.46152,-0.8839,-0.10407,0.88375,0,0,18
-3.5385,-0.8839,-4.1041,0.88375,0,0,18
-3.5385,-0.8839,-5.1041,-2.1162,0,1,18
-3.5385,-2.8839,-5.1041,2.8838,0,0,18
-3.5385,-2.8839,-4.1041,0.88375,0,0,18
-0.53848,-2.8839,-1.1041,0.88375,0,0,18
0.46152,-2.8839,-0.10407,0.88375,0,0,18
0.46152,-2.8839,-0.10407,0.88375,0,1,18
-0.53848,-2.8839,0.89593,0.88375,0,1,18
0.46152,-2.8839,-0.10407,0.88375,0,0,18
0.46152,-2.8839,-0.10407,0.88375,0,1,18
0.46152,-2.8839,-0.10407,0.88375,0,1,18
0.46152,-2.8839,-0.10407,0.88375,0,1,18
0.46152,-2.8839,-0.10407,0.88375,1,1,18
0.46152,1.1161,-0.10407,0.88375,1,1,18
0.46152,1.1161,-0.10407,0.88375,0,0,18
0.46152,-1.8839,-0.10407,-2.1162,0,1,18
0.46152,-1.8839,-0.10407,-2.1162,0,1,18
-1.5385,-1.8839,-5.1041,-3.1162,0,1,18
0.46152,-1.8839,1.8959,-2.1162,0,1,18
-2.5385,-1.8839,2.8959,-2.1162,0,1,18
-2.5385,-1.8839,2.8959,-2.1162,0,1,18
-1.5385,-1.8839,-0.10407,-3.1162,0,0,18
0.46152,-1.8839,1.8959,-2.1162,0,1,18
-1.5385,-1.8839,1.8959,-2.1162,0,1,18
-1.5385,-1.8839,1.8959,-2.1162,0,1,18
-0.53848,-1.8839,0.89593,-2.1162,0,1,18
-1.5385,-1.8839,-0.10407,-3.1162,0,0,18
-1.5385,-0.8839,1.8959,-2.1162,0,1,18
-2.5385,-0.8839,2.8959,-2.1162,0,1,18
-1.5385,-0.8839,1.8959,-2.1162,0,1,18
0.46152,-0.8839,-0.10407,-2.1162,0,0,18
0.46152,-0.8839,-0.10407,-1.1162,0,1,18
-1.5385,-0.8839,-0.10407,-1.1162,0,1,18
0.46152,-0.8839,-0.10407,-1.1162,0,1,18
0.46152,-0.8839,-0.10407,-1.1162,0,1,18
0.46152,-0.8839,1.8959,-1.1162,0,1,18
0.46152,-0.8839,-0.10407,-1.1162,0,1,18
-1.5385,-0.8839,1.8959,0.88375,0,1,18
-1.5385,-1.8839,1.8959,-1.1162,0,1,18
-4.5385,-1.8839,4.8959,-1.1162,0,1,18
-3.5385,-1.8839,3.8959,-1.1162,0,1,18
-2.5385,-1.8839,2.8959,-1.1162,0,1,18
-2.5385,-1.8839,1.8959,1.8838,0,0,18
-2.5385,-2.8839,2.8959,-1.1162,0,1,18
-1.5385,-2.8839,1.8959,-1.1162,0,1,18
-1.5385,-2.8839,1.8959,-1.1162,0,1,18
0.46152,-2.8839,1.8959,-3.1162,0,1,18
0.46152,-0.8839,-0.10407,-1.1162,0,1,18
-2.5385,-0.8839,2.8959,-1.1162,0,1,18
-2.5385,-0.8839,1.8959,0.88375,0,1,18
0.46152,0.1161,-0.10407,-0.11625,1,0,20
0.46152,2.1161,-0.10407,-2.1162,1,1,20
0.46152,2.1161,-0.10407,1.8838,1,0,20
0.46152,3.1161,-0.10407,-0.11625,1,1,20
0.46152,3.1161,-0.10407,-0.11625,0,0,20
-1.5385,3.1161,-2.1041,-0.11625,0,0,20
-2.5385,3.1161,-3.1041,-0.11625,0,0,20
-2.5385,3.1161,-0.10407,-3.1162,0,1,20
0.46152,3.1161,-3.1041,-0.11625,0,0,20
-2.5385,3.1161,-3.1041,-0.11625,0,0,20
-0.53848,3.1161,-1.1041,-0.11625,0,0,20
-0.53848,3.1161,-0.10407,-3.1162,0,0,20
-0.53848,-2.8839,-1.1041,-0.11625,0,0,20
-0.53848,-1.8839,-1.1041,-2.1162,0,1,20
-2.5385,-1.8839,2.8959,-2.1162,0,1,20
-1.5385,-1.8839,1.8959,-2.1162,0,1,20
-1.5385,-0.8839,1.8959,0.88375,0,0,20
-1.5385,-3.8839,-0.10407,-3.1162,0,0,20
-2.5385,-3.8839,1.8959,-4.1162,0,1,20
-2.5385,-1.8839,1.8959,1.8838,0,1,20
-2.5385,-1.8839,1.8959,1.8838,0,1,20
0.46152,-1.8839,-3.1041,-3.1162,0,0,20
-1.5385,-1.8839,-0.10407,1.8838,0,0,20
-1.5385,-2.8839,-0.10407,-3.1162,0,0,20
-1.5385,-3.8839,-0.10407,-4.1162,0,1,20
-2.5385,-3.8839,2.8959,-4.1162,0,1,20
-2.5385,-2.8839,-2.1041,-3.1162,1,0,20
0.46152,-2.8839,2.8959,2.8838,1,0,20
0.46152,-2.8839,-0.10407,-3.1162,1,0,20
1.4615,-2.8839,-1.1041,-3.1162,1,0,20
1.4615,-2.8839,-0.10407,2.8838,1,1,20
1.4615,1.1161,-1.1041,-3.1162,1,0,20
2.4615,1.1161,-2.1041,-3.1162,1,0,20
4.4615,1.1161,-4.1041,-3.1162,1,0,20
2.4615,1.1161,-2.1041,-3.1162,1,0,20
1.4615,1.1161,-1.1041,-3.1162,1,0,20
1.4615,1.1161,-1.1041,-1.1162,0,0,20
1.4615,-0.8839,-1.1041,-1.1162,0,1,20
1.4615,-0.8839,-1.1041,0.88375,1,0,20
1.4615,3.1161,-1.1041,-3.1162,1,1,20
1.4615,3.1161,-1.1041,2.8838,1,0,20
1.4615,1.1161,-0.10407,0.88375,0,1,20
-2.5385,1.1161,-1.1041,-1.1162,0,0,20
-2.5385,-1.8839,-1.1041,-2.1162,0,1,20
-2.5385,-0.8839,2.8959,0.88375,0,1,20
-2.5385,-0.8839,2.8959,0.88375,0,1,20
0.46152,-0.8839,-0.10407,0.88375,0,0,20
-3.5385,-0.8839,-4.1041,0.88375,0,0,20
-2.5385,-0.8839,-3.1041,0.88375,0,0,20
-0.53848,-0.8839,-1.1041,0.88375,0,1,20
-0.53848,-0.8839,0.89593,0.88375,0,1,20
-2.5385,-0.8839,2.8959,0.88375,0,1,20
-1.5385,-0.8839,-1.1041,0.88375,0,1,20
-2.5385,-0.8839,2.8959,0.88375,0,1,20
-0.53848,-0.8839,0.89593,0.88375,0,1,20
-0.53848,-0.8839,1.8959,0.88375,0,1,20
-0.53848,-0.8839,0.89593,0.88375,0,1,20
-1.5385,-0.8839,1.8959,0.88375,0,1,20
0.46152,-0.8839,-0.10407,0.88375,0,1,20
-0.53848,-0.8839,0.89593,0.88375,0,1,20
-0.53848,-0.8839,0.89593,0.88375,0,1,20
0.46152,-0.8839,-0.10407,0.88375,0,1,20
0.46152,-0.8839,1.8959,0.88375,0,0,20
-0.53848,-0.8839,-1.1041,0.88375,0,0,20
-1.5385,-0.8839,-0.10407,0.88375,0,1,20
-1.5385,-2.8839,-0.10407,2.8838,0,0,20
-1.5385,-0.8839,-2.1041,0.88375,0,0,20
-2.5385,-0.8839,-0.10407,-1.1162,0,0,20
-0.53848,-0.8839,-1.1041,-1.1162,0,0,20
-2.5385,-0.8839,-3.1041,0.88375,0,0,20
-0.53848,-0.8839,-3.1041,-1.1162,0,0,20
-3.5385,-0.8839,-4.1041,-1.1162,0,0,20
-3.5385,-0.8839,-1.1041,0.88375,0,0,20
-3.5385,-1.8839,-4.1041,-1.1162,0,1,20
-1.5385,-1.8839,1.8959,-1.1162,0,1,20
-1.5385,-1.8839,1.8959,-1.1162,0,1,20
-3.5385,-1.8839,3.8959,-1.1162,0,1,20
-2.5385,-1.8839,-1.1041,-2.1162,0,0,20
-2.5385,-1.8839,2.8959,-1.1162,0,1,20
-1.5385,-1.8839,1.8959,-1.1162,0,0,20
-0.53848,-1.8839,-1.1041,-1.1162,0,0,20
0.46152,-1.8839,-0.10407,-1.1162,0,1,20
0.46152,-1.8839,-1.1041,-2.1162,0,1,20
0.46152,-3.8839,-0.10407,-1.1162,0,0,20
0.46152,-3.8839,-0.10407,-1.1162,0,1,20
0.46152,-3.8839,-0.10407,3.8838,0,0,20
0.46152,-0.8839,-1.1041,3.8838,0,1,20
0.46152,-2.8839,-1.1041,2.8838,0,1,20
0.46152,-3.8839,-0.10407,-1.1162,0,0,20
0.46152,-0.8839,-0.10407,-1.1162,0,1,20
-1.5385,-0.8839,1.8959,-1.1162,0,1,20
-3.5385,-0.8839,-1.1041,3.8838,0,0,20
-3.5385,-1.8839,-1.1041,-2.1162,0,0,20
-3.5385,-1.8839,3.8959,-1.1162,0,1,20
-2.5385,-1.8839,2.8959,-1.1162,0,1,20
-1.5385,-1.8839,-1.1041,-2.1162,1,0,20
0.46152,-1.8839,-0.10407,-2.1162,1,0,20
0.46152,-1.8839,-0.10407,-2.1162,1,0,20
0.46152,-1.8839,1.8959,-1.1162,0,1,20
0.46152,-0.8839,1.8959,0.88375,1,1,20
1.4615,-0.8839,0.89593,0.88375,1,1,20
3.4615,-0.8839,-0.10407,-2.1162,1,0,20
3.4615,3.1161,-0.10407,-3.1162,1,0,20
3.4615,2.1161,2.8959,0.88375,0,1,20
-2.5385,2.1161,2.8959,0.88375,0,1,20
-0.53848,2.1161,0.89593,0.88375,0,1,20
0.46152,2.1161,-0.10407,-2.1162,0,0,20
-0.53848,2.1161,-0.10407,0.88375,0,1,20
0.46152,2.1161,-0.10407,0.88375,0,1,20
0.46152,2.1161,-0.10407,0.88375,0,1,20
0.46152,2.1161,-0.10407,0.88375,0,1,20
0.46152,2.1161,-1.1041,-2.1162,0,0,20
-3.5385,2.1161,-4.1041,-2.1162,0,0,20
-2.5385,2.1161,-0.10407,0.88375,0,1,20
-2.5385,-1.8839,-0.10407,1.8838,0,1,20
0.46152,-1.8839,-0.10407,1.8838,0,1,20
-1.5385,-1.8839,1.8959,1.8838,0,1,20
-2.5385,-1.8839,2.8959,1.8838,0,1,20
-2.5385,-1.8839,2.8959,1.8838,0,1,20
-1.5385,-1.8839,-3.1041,-2.1162,0,0,20
0.46152,-1.8839,1.8959,1.8838,0,1,20
-1.5385,-1.8839,1.8959,1.8838,0,1,20
-1.5385,-1.8839,1.8959,1.8838,0,1,20
-0.53848,-1.8839,0.89593,1.8838,0,1,20
-1.5385,-1.8839,-0.10407,-2.1162,0,0,20
-1.5385,-0.8839,1.8959,1.8838,0,1,20
-2.5385,-0.8839,2.8959,1.8838,0,1,20
-1.5385,-0.8839,1.8959,1.8838,0,1,20
0.46152,-0.8839,-0.10407,1.8838,0,1,20
0.46152,-0.8839,-0.10407,-1.1162,0,0,20
-1.5385,-0.8839,-0.10407,0.88375,0,0,20
0.46152,-0.8839,-0.10407,0.88375,0,1,20
0.46152,-0.8839,-0.10407,0.88375,0,0,20
0.46152,-0.8839,-2.1041,-1.1162,0,0,20
0.46152,-0.8839,-0.10407,0.88375,0,1,20
-1.5385,-0.8839,-2.1041,-1.1162,0,0,20
-1.5385,-2.8839,1.8959,0.88375,0,1,20
-4.5385,-2.8839,4.8959,0.88375,0,1,20
-3.5385,-2.8839,3.8959,0.88375,0,1,20
-2.5385,-2.8839,2.8959,0.88375,0,1,20
-2.5385,-2.8839,-2.1041,-3.1162,0,0,20
-2.5385,-2.8839,-2.1041,-3.1162,0,1,20
-2.5385,-2.8839,2.8959,0.88375,0,1,20
-1.5385,-2.8839,1.8959,0.88375,0,1,20
-1.5385,-2.8839,1.8959,0.88375,0,1,20
0.46152,-2.8839,2.8959,-3.1162,0,1,20
0.46152,-0.8839,-0.10407,0.88375,0,1,20
-2.5385,-0.8839,2.8959,0.88375,0,1,20
-2.5385,-0.8839,2.8959,0.88375,0,0,20
0.46152,0.1161,-0.10407,-0.11625,0,1,25
0.46152,0.1161,-0.10407,-0.11625,0,1,25
-0.53848,0.1161,-0.10407,-0.11625,1,0,25
-0.53848,3.1161,0.89593,-0.11625,1,1,25
0.46152,3.1161,-0.10407,-0.11625,0,1,25
-0.53848,3.1161,-0.10407,-3.1162,1,0,25
-0.53848,3.1161,0.89593,-0.11625,0,0,25
-2.5385,3.1161,-0.10407,-3.1162,0,0,25
-2.5385,-2.8839,-3.1041,-0.11625,0,1,25
-3.5385,-2.8839,-0.10407,-3.1162,1,1,25
-3.5385,2.1161,3.8959,-0.11625,0,1,25
-4.5385,2.1161,-0.10407,1.8838,0,1,25
-4.5385,-2.8839,4.8959,-0.11625,0,1,25
-3.5385,-2.8839,3.8959,-0.11625,0,1,25
-2.5385,-2.8839,2.8959,-0.11625,0,1,25
-1.5385,-2.8839,1.8959,-0.11625,0,0,25
-1.5385,-1.8839,-0.10407,2.8838,1,1,25
-1.5385,1.1161,1.8959,-2.1162,1,1,25
-1.5385,2.1161,-0.10407,0.88375,1,0,25
4.4615,2.1161,-4.1041,0.88375,1,0,25
4.4615,2.1161,-4.1041,0.88375,1,0,25
2.4615,2.1161,-2.1041,0.88375,0,1,25
-1.5385,2.1161,1.8959,1.8838,0,1,25
-0.53848,2.1161,0.89593,1.8838,0,1,25
-1.5385,2.1161,1.8959,1.8838,0,1,25
-2.5385,2.1161,2.8959,1.8838,0,1,25
-2.5385,-2.8839,2.8959,2.8838,0,1,25
-2.5385,-3.8839,2.8959,3.8838,1,1,25
-2.5385,5.1161,2.8959,4.8838,0,0,25
0.46152,5.1161,-0.10407,4.8838,0,1,25
0.46152,-1.8839,1.8959,0.88375,1,1,25
4.4615,-1.8839,3.8959,0.88375,1,0,25
4.4615,-1.8839,-4.1041,0.88375,1,0,25
2.4615,-1.8839,-0.10407,1.8838,0,0,25
2.4615,-0.8839,-0.10407,-1.1162,0,0,25
-0.53848,-0.8839,-2.1041,0.88375,0,1,25
-0.53848,-0.8839,-1.1041,-1.1162,0,1,25
-3.5385,-0.8839,3.8959,-1.1162,0,1,25
-3.5385,-0.8839,3.8959,-1.1162,0,1,25
-3.5385,-0.8839,3.8959,-1.1162,0,1,25
-2.5385,-0.8839,-2.1041,0.88375,0,1,25
-2.5385,-2.8839,-2.1041,2.8838,0,1,25
-2.5385,-0.8839,-2.1041,0.88375,1,1,25
0.46152,-0.8839,-0.10407,0.88375,1,0,25
0.46152,1.1161,-0.10407,-1.1162,1,0,25
1.4615,1.1161,-1.1041,-1.1162,1,0,25
1.4615,1.1161,2.8959,-1.1162,1,1,25
2.4615,1.1161,1.8959,-1.1162,1,0,25
1.4615,1.1161,-1.1041,-1.1162,1,1,25
3.4615,1.1161,-1.1041,-1.1162,1,1,25
2.4615,1.1161,1.8959,-1.1162,1,0,25
0.46152,1.1161,2.8959,-1.1162,0,1,25
-0.53848,1.1161,-0.10407,-1.1162,0,1,25
-0.53848,-0.8839,-0.10407,0.88375,1,1,25
-0.53848,1.1161,0.89593,-1.1162,0,1,25
0.46152,1.1161,-0.10407,0.88375,1,1,25
0.46152,2.1161,-0.10407,1.8838,1,0,25
0.46152,1.1161,-0.10407,-1.1162,0,0,25
0.46152,1.1161,-0.10407,-1.1162,0,1,25
0.46152,1.1161,-0.10407,-1.1162,0,1,25
-2.5385,1.1161,2.8959,-1.1162,0,0,25
-1.5385,1.1161,-0.10407,-1.1162,0,1,25
-1.5385,-2.8839,-0.10407,2.8838,0,0,25
-1.5385,-0.8839,-0.10407,-1.1162,1,0,25
0.46152,-0.8839,-0.10407,-1.1162,0,1,25
0.46152,-2.8839,-0.10407,2.8838,0,1,25
0.46152,-2.8839,-2.1041,-1.1162,0,0,25
-0.53848,-2.8839,-0.10407,2.8838,0,1,25
0.46152,-2.8839,-1.1041,-1.1162,1,0,25
0.46152,-2.8839,-0.10407,2.8838,1,0,25
5.4615,-2.8839,-0.10407,-1.1162,1,1,25
5.4615,4.1161,-5.1041,2.8838,0,0,25
-2.5385,4.1161,-3.1041,2.8838,0,0,25
-1.5385,4.1161,-0.10407,3.8838,1,1,25
-1.5385,2.1161,-0.10407,1.8838,0,0,25
-1.5385,-1.8839,-2.1041,2.8838,0,0,25
-0.53848,-1.8839,-1.1041,2.8838,0,0,25
-0.53848,-1.8839,-1.1041,2.8838,0,0,25
0.46152,-1.8839,-0.10407,-2.1162,1,0,25
2.4615,-1.8839,-0.10407,2.8838,1,1,25
2.4615,3.1161,-2.1041,-2.1162,1,0,25
3.4615,3.1161,-3.1041,-2.1162,1,0,25
3.4615,3.1161,-3.1041,-2.1162,1,0,25
5.4615,3.1161,-0.10407,2.8838,1,0,25
5.4615,3.1161,-5.1041,-2.1162,0,0,25
-3.5385,3.1161,-0.10407,-3.1162,0,0,25
-3.5385,-0.8839,-4.1041,-2.1162,1,0,25
0.46152,-0.8839,-0.10407,-2.1162,0,0,25
0.46152,-1.8839,-0.10407,-2.1162,0,1,25
0.46152,-2.8839,-0.10407,-1.1162,0,0,25
-4.5385,-2.8839,-5.1041,-1.1162,0,0,25
-3.5385,-2.8839,-4.1041,-1.1162,0,0,25
-4.5385,-2.8839,-0.10407,2.8838,1,1,25
-4.5385,1.1161,-5.1041,-1.1162,0,0,25
-3.5385,1.1161,-4.1041,-1.1162,0,0,25
-3.5385,1.1161,-0.10407,0.88375,0,1,25
-3.5385,-2.8839,-0.10407,2.8838,0,0,25
-3.5385,-2.8839,-4.1041,-1.1162,0,0,25
-0.53848,-2.8839,-1.1041,-1.1162,0,0,25
